,node_ID,highway,street_count,x,y,geometry
1809,4816491856,,4,34.8701183,-19.8500568,POINT (34.8701183 -19.8500568)
1810,4816491857,,3,34.8700135,-19.8506306,POINT (34.8700135 -19.8506306)
1811,4816491858,,4,34.8702935,-19.8500899,POINT (34.8702935 -19.8500899)
1812,4816491859,,4,34.8671084,-19.8495084,POINT (34.8671084 -19.8495084)
1813,4816491860,,3,34.866979,-19.8500648,POINT (34.866979 -19.8500648)
1814,4816491861,,4,34.8673322,-19.8495451,POINT (34.8673322 -19.8495451)
1815,5280400444,,3,34.8693188,-19.8395217,POINT (34.8693188 -19.8395217)
1816,5280400445,,1,34.8686823,-19.8396756,POINT (34.8686823 -19.8396756)
1817,5280400446,,3,34.8694333,-19.8399607,POINT (34.8694333 -19.8399607)
1818,5280400447,,3,34.8711541,-19.8394989,POINT (34.8711541 -19.8394989)
1819,5280400449,,3,34.8709528,-19.838484,POINT (34.8709528 -19.838484)
1820,5280400454,,3,34.8726727,-19.8409743,POINT (34.8726727 -19.8409743)
1821,5280400466,,1,34.8757915,-19.8438398,POINT (34.8757915 -19.8438398)
1822,5280400470,,3,34.8759618,-19.8443381,POINT (34.8759618 -19.8443381)
1823,5280400471,,3,34.8764768,-19.8442397,POINT (34.8764768 -19.8442397)
1824,5280400478,,3,34.8797044,-19.8433798,POINT (34.8797044 -19.8433798)
1825,5280400479,,3,34.8799431,-19.8441029,POINT (34.8799431 -19.8441029)
1826,5280400486,,3,34.8772453,-19.8448944,POINT (34.8772453 -19.8448944)
1827,5280400489,,3,34.8762528,-19.8452413,POINT (34.8762528 -19.8452413)
1828,5280400490,,1,34.8734432,-19.8460461,POINT (34.8734432 -19.8460461)
1829,5280400510,,1,34.8664186,-19.8438246,POINT (34.8664186 -19.8438246)
1830,5280400513,,4,34.8662658,-19.8446372,POINT (34.8662658 -19.8446372)
1831,5280400726,,3,34.8672162,-19.8448338,POINT (34.8672162 -19.8448338)
1832,5280400727,,3,34.8673577,-19.844866,POINT (34.8673577 -19.844866)
1833,5280400728,,1,34.867183,-19.8455844,POINT (34.867183 -19.8455844)
1834,5280400729,,1,34.8716435,-19.8456727,POINT (34.8716435 -19.8456727)
1835,5280400735,,3,34.8651606,-19.8444101,POINT (34.8651606 -19.8444101)
1836,5280400736,,3,34.8705558,-19.8454809,POINT (34.8705558 -19.8454809)
1837,5280400749,,1,34.8739153,-19.8442447,POINT (34.8739153 -19.8442447)
1838,5280400753,,4,34.8743069,-19.8458165,POINT (34.8743069 -19.8458165)
1839,5622112465,,3,34.8423844,-19.8285327,POINT (34.8423844 -19.8285327)
1840,5622112468,,3,34.84113,-19.8289958,POINT (34.84113 -19.8289958)
1841,5622112469,,3,34.8412527,-19.8290687,POINT (34.8412527 -19.8290687)
1842,5622112470,,3,34.8411348,-19.8292382,POINT (34.8411348 -19.8292382)
1843,5622112471,,3,34.8403101,-19.8285097,POINT (34.8403101 -19.8285097)
1844,5622112472,,3,34.8401992,-19.8286691,POINT (34.8401992 -19.8286691)
1845,5622112473,,4,34.8418612,-19.8294313,POINT (34.8418612 -19.8294313)
1846,5622112474,,4,34.8417435,-19.829603,POINT (34.8417435 -19.829603)
1847,5622112475,,3,34.8415947,-19.8296921,POINT (34.8415947 -19.8296921)
1848,5622112476,,3,34.8418682,-19.8293035,POINT (34.8418682 -19.8293035)
1849,5622112477,,3,34.8456834,-19.8200515,POINT (34.8456834 -19.8200515)
