,stnode,endnode,osmid,oneway,ref,tunnel,maxspeed,lanes,length,service,bridge,highway,junction,access,name,geometry
8794,5654073151,5653890066,"[326208113, 326208114]",False,,,,,136.953,,,residential,,,,"LINESTRING (34.8884597 -19.7825036, 34.8885005 -19.7824549, 34.8885495 -19.7823387, 34.8885732 -19.7823023, 34.8886004 -19.7822801, 34.8886407 -19.7822592, 34.8889355 -19.7819151, 34.8892263 -19.7816075, 34.8892901 -19.7815695)"
8795,5654073151,3888724918,326208113,False,,,,,205.33,,,residential,,,,"LINESTRING (34.8884597 -19.7825036, 34.8881686 -19.7827174, 34.8870695 -19.7838026)"
8796,5654073151,6418970810,590217634,False,,,,,112.577,,,path,,,,"LINESTRING (34.8884597 -19.7825036, 34.8883613 -19.7823917, 34.888304 -19.7822353, 34.8882678 -19.7818352, 34.8882987 -19.7815364)"
8797,5654073192,5654073204,592403460,False,,,,,253.941,,,residential,,,,"LINESTRING (34.8846685 -19.7885782, 34.8844631 -19.7887481, 34.8842257 -19.788926, 34.8840058 -19.7890396, 34.8838475 -19.7891128, 34.8837027 -19.789162, 34.8834693 -19.7891885, 34.8833205 -19.7891923, 34.8830616 -19.7891809, 34.882898 -19.7891683, 34.8828256 -19.789167, 34.8827492 -19.7891847, 34.8825963 -19.7892503, 34.8824677 -19.7893081)"
8798,5654073192,3328284835,839392845,False,,,60,,97.35300000000001,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8846685 -19.7885782, 34.8850284 -19.7889222, 34.8853231 -19.7892004)"
8799,5654073192,5653993972,839392845,False,,,60,,146.308,,,tertiary,,,Rua Carlos Pereira,"LINESTRING (34.8846685 -19.7885782, 34.8841667 -19.788119, 34.8836727 -19.7876545)"
8800,5654073204,5654073208,326208119,False,,,,,60.065,,,residential,,,,"LINESTRING (34.8824677 -19.7893081, 34.8822673 -19.7888019)"
8801,5654073204,5653770887,326208119,False,,,,,104.289,,,residential,,,,"LINESTRING (34.8824677 -19.7893081, 34.8826624 -19.7898478, 34.882802 -19.7901915)"
8802,5654073204,5654073192,592403460,False,,,,,253.941,,,residential,,,,"LINESTRING (34.8824677 -19.7893081, 34.8825963 -19.7892503, 34.8827492 -19.7891847, 34.8828256 -19.789167, 34.882898 -19.7891683, 34.8830616 -19.7891809, 34.8833205 -19.7891923, 34.8834693 -19.7891885, 34.8837027 -19.789162, 34.8838475 -19.7891128, 34.8840058 -19.7890396, 34.8842257 -19.788926, 34.8844631 -19.7887481, 34.8846685 -19.7885782)"
8803,5654073207,5654073208,592403463,False,,,,,42.218,,,residential,,,,"LINESTRING (34.8826533 -19.7886913, 34.8822673 -19.7888019)"
8804,5654073208,5654073204,326208119,False,,,,,60.065,,,residential,,,,"LINESTRING (34.8822673 -19.7888019, 34.8824677 -19.7893081)"
8805,5654073208,5654073207,592403463,False,,,,,42.218,,,residential,,,,"LINESTRING (34.8822673 -19.7888019, 34.8826533 -19.7886913)"
8806,5654073208,3328285521,326208119,False,,,,,159.615,,,residential,,,,"LINESTRING (34.8822673 -19.7888019, 34.8821403 -19.7884648, 34.8820102 -19.788138, 34.8817191 -19.7874626)"
8807,5654094073,5635404926,62224548,False,,,,,6.542,,,unclassified,,,,"LINESTRING (34.866007 -19.8338181, 34.8659483 -19.8337978)"
8808,5654094073,5635404928,62224548,False,,,,,23.706,,,unclassified,,,,"LINESTRING (34.866007 -19.8338181, 34.8662197 -19.8338917)"
8809,5654094073,5654094074,592406450,False,,,,,61.858000000000004,,,service,,,,"LINESTRING (34.866007 -19.8338181, 34.8660259 -19.8337699, 34.8662123 -19.8332964)"
8810,5654094074,5654094086,389966885,False,,,,,24.239,,,service,,,,"LINESTRING (34.8662123 -19.8332964, 34.8664305 -19.8333698)"
8811,5654094074,5654094088,389966885,False,,,,,23.603,,,service,,,,"LINESTRING (34.8662123 -19.8332964, 34.8659998 -19.833225)"
8812,5654094074,5654094073,592406450,False,,,,,61.858000000000004,,,service,,,,"LINESTRING (34.8662123 -19.8332964, 34.8660259 -19.8337699, 34.866007 -19.8338181)"
8813,5654094075,5654094085,592406451,False,,,,,24.975,,,service,,,,"LINESTRING (34.8663708 -19.8328759, 34.8665949 -19.8329534)"
8814,5654094075,5654094087,592406451,False,,,,,23.369,,,service,,,,"LINESTRING (34.8663708 -19.8328759, 34.8661611 -19.8328034)"
8815,5654094075,5654094076,592406453,False,,,,,70.784,,,service,,,,"LINESTRING (34.8663708 -19.8328759, 34.8666022 -19.8322777)"
8816,5654094076,5654094075,592406453,False,,,,,70.784,,,service,,,,"LINESTRING (34.8666022 -19.8322777, 34.8663708 -19.8328759)"
8817,5654094076,5654094077,678530473,False,,,,,45.863,,,service,,,,"LINESTRING (34.8666022 -19.8322777, 34.8661892 -19.8321392)"
8818,5654094076,5654094080,678530473,False,,,,,49.372,,,service,,,,"LINESTRING (34.8666022 -19.8322777, 34.8670468 -19.8324268)"
8819,5654094077,5654094076,678530473,False,,,,,45.863,,,service,,,,"LINESTRING (34.8661892 -19.8321392, 34.8666022 -19.8322777)"
8820,5654094078,5654094080,678530473,False,,,,,21.351,,,service,,,,"LINESTRING (34.8672391 -19.8324912, 34.8670468 -19.8324268)"
8821,5654094080,6353443656,592406451,False,,,,,20.03,,,service,,,,"LINESTRING (34.8670468 -19.8324268, 34.8671089 -19.8322564)"
8822,5654094080,5654094076,678530473,False,,,,,49.372,,,service,,,,"LINESTRING (34.8670468 -19.8324268, 34.8666022 -19.8322777)"
8823,5654094080,5654094078,678530473,False,,,,,21.351,,,service,,,,"LINESTRING (34.8670468 -19.8324268, 34.8672391 -19.8324912)"
8824,5654094080,5654094085,592406451,False,,,,,95.178,,,service,,,,"LINESTRING (34.8670468 -19.8324268, 34.866837 -19.8330021, 34.8668305 -19.8330109, 34.866822 -19.8330174, 34.8668119 -19.8330215, 34.8668017 -19.8330227, 34.8667915 -19.8330213, 34.8665949 -19.8329534)"
8825,5654094084,5654094087,592406451,False,,,,,22.576,,,service,,,,"LINESTRING (34.8659585 -19.8327334, 34.8661611 -19.8328034)"
8826,5654094085,5654094075,592406451,False,,,,,24.975,,,service,,,,"LINESTRING (34.8665949 -19.8329534, 34.8663708 -19.8328759)"
8827,5654094085,5654094086,592406456,False,,,,,49.392,,,service,,,,"LINESTRING (34.8665949 -19.8329534, 34.8664305 -19.8333698)"
8828,5654094085,5654094080,592406451,False,,,,,95.178,,,service,,,,"LINESTRING (34.8665949 -19.8329534, 34.8667915 -19.8330213, 34.8668017 -19.8330227, 34.8668119 -19.8330215, 34.866822 -19.8330174, 34.8668305 -19.8330109, 34.866837 -19.8330021, 34.8670468 -19.8324268)"
8829,5654094086,3931225564,389966885,False,,,,,59.009,,,service,,,,"LINESTRING (34.8664305 -19.8333698, 34.8669617 -19.8335485)"
8830,5654094086,5654094074,389966885,False,,,,,24.239,,,service,,,,"LINESTRING (34.8664305 -19.8333698, 34.8662123 -19.8332964)"
8831,5654094086,5654094085,592406456,False,,,,,49.392,,,service,,,,"LINESTRING (34.8664305 -19.8333698, 34.8665949 -19.8329534)"
8832,5654094087,5654094075,592406451,False,,,,,23.369,,,service,,,,"LINESTRING (34.8661611 -19.8328034, 34.8663708 -19.8328759)"
8833,5654094087,5654094084,592406451,False,,,,,22.576,,,service,,,,"LINESTRING (34.8661611 -19.8328034, 34.8659585 -19.8327334)"
8834,5654094087,5654094088,592406457,False,,,,,49.824,,,service,,,,"LINESTRING (34.8661611 -19.8328034, 34.8659998 -19.833225)"
8835,5654094088,5654094074,389966885,False,,,,,23.603,,,service,,,,"LINESTRING (34.8659998 -19.833225, 34.8662123 -19.8332964)"
8836,5654094088,6353443652,389966885,False,,,,,145.334,,,service,,,,"LINESTRING (34.8659998 -19.833225, 34.8646915 -19.8327849)"
8837,5654094088,5654094087,592406457,False,,,,,49.824,,,service,,,,"LINESTRING (34.8659998 -19.833225, 34.8661611 -19.8328034)"
8838,5654094089,1935839982,183217105,False,,,,,44.709,,,residential,,,,"LINESTRING (34.8627304 -19.8373045, 34.8631462 -19.8373977)"
8839,5654094089,3887805413,183217105,False,,,,,7.654,,,residential,,,,"LINESTRING (34.8627304 -19.8373045, 34.8626592 -19.8372886)"
8840,5654094089,3887805402,592406459,False,,,,,44.617,,,residential,,,,"LINESTRING (34.8627304 -19.8373045, 34.8628066 -19.8369097)"
8841,5654094090,2612440968,255563344,False,,,,,23.777,,,residential,,,,"LINESTRING (34.8655519 -19.8373657, 34.865634 -19.8371663)"
8842,5654094090,5654094091,592406460,False,,,,,32.356,,,residential,,,,"LINESTRING (34.8655519 -19.8373657, 34.8652518 -19.8372951)"
8843,5654094090,6414085477,255563344,False,,,,,47.83,,,residential,,,,"LINESTRING (34.8655519 -19.8373657, 34.8654314 -19.8376584, 34.8653993 -19.837714, 34.8653644 -19.8377556)"
8844,5654094091,2612440771,255563355,False,,,,,23.049,,,residential,,,,"LINESTRING (34.8652518 -19.8372951, 34.8652984 -19.8370925)"
8845,5654094091,5653957957,255563355,False,,,,,13.889,,,residential,,,,"LINESTRING (34.8652518 -19.8372951, 34.8651907 -19.837406)"
8846,5654094091,5654094090,592406460,False,,,,,32.356,,,residential,,,,"LINESTRING (34.8652518 -19.8372951, 34.8655519 -19.8373657)"
8847,5654094092,6345455815,677692028,False,,,,,6.443,,,service,,,,"LINESTRING (34.8638531 -19.831193, 34.8639056 -19.8311627)"
8848,5654094092,5654094095,592406462,False,,,,,102.947,,,service,,,,"LINESTRING (34.8638531 -19.831193, 34.8638315 -19.8313129, 34.8637712 -19.8314264, 34.863735 -19.83154, 34.8637028 -19.8316585, 34.8636773 -19.8318743, 34.8636376 -19.8320904)"
